Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.162553,40.264977,0.00,486063,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162532,40.264977,0.00,486064,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162508,40.264977,0.00,486065,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162487,40.264977,0.00,486066,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162463,40.264980,0.00,486067,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162440,40.264980,0.00,486068,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162418,40.264983,0.00,486069,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162397,40.264990,0.00,486070,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,297
-85.162377,40.264997,0.00,486071,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162358,40.265000,0.00,486072,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162337,40.265010,0.00,486073,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162318,40.265018,0.00,486074,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162318,40.265018,0.00,486074,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162300,40.265023,0.00,486076,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162302,40.265023,0.00,486077,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162305,40.265022,0.00,486078,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.1,297
-85.162318,40.265022,0.00,486079,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.1,297
-85.162330,40.265022,0.00,486080,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.1,297
-85.162340,40.265023,0.00,486081,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.1,297
-85.162353,40.265023,0.00,486082,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.1,297
-85.162363,40.265023,0.00,486083,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.1,297
-85.162375,40.265025,0.00,486084,1,38,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162387,40.265025,0.00,486085,1,39,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162402,40.265025,0.00,486086,1,49,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,296
-85.162418,40.265025,0.00,486087,1,53,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162437,40.265023,0.00,486088,1,58,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162455,40.265023,0.00,486089,1,60,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162475,40.265022,0.00,486090,1,61,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162493,40.265022,0.00,486091,1,63,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162510,40.265022,0.00,486092,1,60,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162530,40.265022,0.00,486093,1,61,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
-85.162550,40.265022,0.00,486094,1,61,15,17.1,Down,1,0,End Rows,1,Corn,2,3.1,297
