Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.164803,40.271465,8.24,134853,1,20,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164798,40.271467,7.79,134854,1,21,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164793,40.271470,7.93,134855,1,22,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164783,40.271468,8.49,134856,1,28,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164773,40.271470,9.61,134857,1,37,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164758,40.271472,8.24,134858,1,43,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164743,40.271472,9.33,134859,1,49,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164728,40.271475,10.19,134860,1,52,15,16.7,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164712,40.271475,9.35,134861,1,54,15,16.8,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164698,40.271478,6.04,134862,1,54,15,16.8,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164680,40.271478,5.00,134863,1,55,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164667,40.271478,4.47,134864,1,55,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164650,40.271478,3.91,134865,1,56,15,17.1,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164633,40.271478,3.83,134866,1,54,15,16.9,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164617,40.271478,4.01,134867,1,54,15,17.2,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164602,40.271478,4.30,134868,1,54,15,17.4,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164583,40.271478,5.05,134869,1,55,15,16.8,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164568,40.271478,6.74,134870,1,54,15,16.9,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164552,40.271478,8.06,134871,1,55,15,16.7,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164533,40.271480,9.85,134872,1,54,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164517,40.271480,11.33,134873,1,54,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164502,40.271480,11.37,134874,1,53,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164487,40.271480,11.31,134875,1,54,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164470,40.271480,10.67,134876,1,54,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164450,40.271482,10.57,134877,1,56,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164437,40.271480,10.18,134878,1,56,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164420,40.271478,10.70,134879,1,56,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,294
